Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:24:25.148,-1961598,-1961667,-1960489,-1960250,-1960269,-1959473,-1959958,-1960585,-1960246,-1960181,-1959495,-1953097,0,0,63,-239,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.158,-1961598,-1961666,-1960490,-1960250,-1960269,-1959472,-1959959,-1960584,-1960245,-1960181,-1959495,-1953015,0,24,66,-220,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.168,-1961599,-1961666,-1960490,-1960250,-1960269,-1959471,-1959958,-1960584,-1960245,-1960181,-1959495,-1952972,0,34,90,-223,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.178,-1961599,-1961666,-1960491,-1960250,-1960270,-1959472,-1959958,-1960585,-1960244,-1960181,-1959494,-1953033,0,2,84,-217,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.188,-1961600,-1961666,-1960491,-1960250,-1960270,-1959472,-1959959,-1960584,-1960244,-1960182,-1959493,-1953032,0,4,74,-207,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.198,-1961601,-1961666,-1960491,-1960250,-1960270,-1959471,-1959959,-1960583,-1960245,-1960182,-1959493,-1953008,0,6,77,-223,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.208,-1961600,-1961667,-1960491,-1960251,-1960271,-1959471,-1959959,-1960583,-1960246,-1960182,-1959493,-1953033,0,1,74,-198,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.218,-1961599,-1961668,-1960491,-1960251,-1960271,-1959471,-1959958,-1960581,-1960246,-1960182,-1959494,-1953021,0,0,86,-188,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.228,-1961599,-1961668,-1960491,-1960252,-1960271,-1959471,-1959958,-1960580,-1960246,-1960183,-1959493,-1953053,0,0,85,-232,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.238,-1961599,-1961669,-1960491,-1960254,-1960269,-1959471,-1959959,-1960580,-1960247,-1960183,-1959493,-1953034,0,0,82,-237,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.248,-1961599,-1961669,-1960491,-1960254,-1960269,-1959471,-1959959,-1960580,-1960248,-1960183,-1959493,-1953025,0,8,73,-228,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.258,-1961598,-1961670,-1960491,-1960254,-1960269,-1959471,-1959958,-1960581,-1960247,-1960184,-1959494,-1953051,0,22,49,-223,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
